business_name,email,phone,website,city,state
Zero Excuses Physical Therapy,dr.reubenjames@gmail.com,+13468670003,https://zeroxpt.com/,Missouri City,TX
Park Sports Physical Therapy,williamsburg@ivyrehab.com,+19295902212,https://parksportspt.com/,Brooklyn,NY
Park Sports Physical Therapy,clintonhill@ivyrehab.com,+19295902212,https://parksportspt.com/,Brooklyn,NY
Park Sports Physical Therapy,ppw@ivyrehab.com,+19295902212,https://parksportspt.com/,Brooklyn,NY
Park Sports Physical Therapy,southslope@ivyrehab.com,+19295902212,https://parksportspt.com/,Brooklyn,NY
Park Sports Physical Therapy,williamsburg@ivyrehab.com,+19295902212,https://parksportspt.com/,Brooklyn,NY
Park Sports Physical Therapy,clintonhill@ivyrehab.com,+19295902212,https://parksportspt.com/,Brooklyn,NY
Park Sports Physical Therapy,ppw@ivyrehab.com,+19295902212,https://parksportspt.com/,Brooklyn,NY
Park Sports Physical Therapy,southslope@ivyrehab.com,+19295902212,https://parksportspt.com/,Brooklyn,NY
Park Sports Physical Therapy,williamsburg@ivyrehab.com,+19295902212,https://parksportspt.com/,Brooklyn,NY
Park Sports Physical Therapy,clintonhill@ivyrehab.com,+19295902212,https://parksportspt.com/,Brooklyn,NY
Park Sports Physical Therapy,ppw@ivyrehab.com,+19295902212,https://parksportspt.com/,Brooklyn,NY
Park Sports Physical Therapy,southslope@ivyrehab.com,+19295902212,https://parksportspt.com/,Brooklyn,NY
Park Sports Physical Therapy,williamsburg@ivyrehab.com,+19295902212,https://parksportspt.com/,Brooklyn,NY
Park Sports Physical Therapy,clintonhill@ivyrehab.com,+19295902212,https://parksportspt.com/,Brooklyn,NY
Park Sports Physical Therapy,ppw@ivyrehab.com,+19295902212,https://parksportspt.com/,Brooklyn,NY
Park Sports Physical Therapy,southslope@ivyrehab.com,+19295902212,https://parksportspt.com/,Brooklyn,NY
Victory Rehabilitation,info@victoryrehabilitation.net,+17065075917,https://victoryrehabilitation.net/,Columbus,GA
"Kauai Therapy & Wellness, Sandpoint - Ponderay, Idaho",idaho@kit-therapy.com,+12082059559,https://kit-therapy.com/,Ponderay,ID
Superior Physical Therapy,andrewg@thesuperiortherapy.com,+12314219300,https://www.thesuperiortherapy.com/,Traverse City,MI
Sea Pines Physical Therapy,hello@seapinespt.com,+12066140256,https://www.seapinespt.com/,Seattle,WA
Paramount Physical Therapy & Rehab,info@pararehab.com,+17132705900,http://pararehab.com/,Katy,TX
"Activelife Therapy | Back, Knee & Shoulder Pain Specialist in Grayslake-Gurnee, IL",ptyugi@activelifechicagopt.com,+12244994494,http://activelifechicagopt.com/,Grayslake,IL
Prestige and Performance Physical Therapy,info@pnpphysicaltherapy.com,+16265668444,https://www.pnpphysicaltherapy.com/,Pasadena,CA
Protailored Physical Therapy,info@protailored.com,+12607390300,https://protailored.com/,Fort Wayne,IN
Protailored Physical Therapy,infolima@protailored.com,+12607390300,https://protailored.com/,Fort Wayne,IN
ProTailored Physical Therapy,info@protailored.com,+12607390300,https://protailored.com/,Fort Wayne,IN
ProTailored Physical Therapy,infolima@protailored.com,+12607390300,https://protailored.com/,Fort Wayne,IN
ProTailored Physical Therapy,info@protailored.com,+12607390300,https://protailored.com/,Fort Wayne,IN
ProTailored Physical Therapy,infolima@protailored.com,+12607390300,https://protailored.com/,Fort Wayne,IN
ProTailored Physical Therapy,info@protailored.com,+12607390300,https://protailored.com/,Fort Wayne,IN
ProTailored Physical Therapy,infolima@protailored.com,+12607390300,https://protailored.com/,Fort Wayne,IN
ProTailored Physical Therapy,info@protailored.com,+12607390300,https://protailored.com/,Fort Wayne,IN
ProTailored Physical Therapy,infolima@protailored.com,+12607390300,https://protailored.com/,Fort Wayne,IN
Wellcare Rehabilitation & Wellness Center,info@wellcarerehab.com,+19544544280,https://wellcarerehab.com/,Hallandale Beach,FL
Optimize Physical Therapy and Performance - Michigan,zaki@optimizeptp.com,+17025509552,https://optimizeptp.com/,Bloomfield Township,MI
Northwest Injury Care,info@nwinjurycare.com,+15032068988,https://nwinjurycare.com/,Portland,OR
Activa Physical Therapy,info@goactiva.com,+16306016192,https://goactiva.com/,Burr Ridge,IL
WildHawk Physical Therapy,info@wildhawkpt.com,+18283658133,https://wildhawkphysicaltherapy.com/,Asheville,NC
WildHawk Physical Therapy,pelvichealth@wildhawkpt.com,+18283658133,https://wildhawkphysicaltherapy.com/,Asheville,NC
Rebound Performance Physical Therapy,jon@reboundperformancept.com,+12036017446,https://www.reboundperformancept.com/,Newington,CT
On Point Massage Therapy,OnPointMT@gmail.com,+16198210744,https://www.onpointmassagetherapy.com/,La Mesa,CA
OrMobility Physical Therapy & Performance,garrett.stroup@ormobility.com,+15418453311,https://ormobility.com/,Roseburg,OR
Pros In Rehab,ptpros@prosinrehab.com,+14083997054,https://www.prosinrehab.com/,San Jose,CA
Austin Preferred Integrative Medicine,info@austinpreferred.com,+15124422727,https://austinpreferred.com/,Austin,TX
Peak Physiotherapy and Performance,andrew.junak@p3physio.com,+16144670285,https://p3physio.com/,Blacklick,OH
Peak Physiotherapy and Performance,andrew.junak@p3physio.com,+16144670285,https://p3physio.com/,Canal Winchester,OH
Onyx Physio and Performance,steven@onyxphysionova.com,+17036798917,https://onyxphysionova.com/,Herndon,VA
RēBalance Physical Therapy,info@rebalancewellness.com,+14692005784,https://www.rebalancewellness.com/,McKinney,TX
MindBody Alignment,info@mbalignment.com,+17272105941,https://mbalignment.com/,Largo,FL
CapitalFX - PRIDE Rehabilitation,info@pridedallas.com,+15125037399,https://www.capitalfxaustin.com/,Austin,TX
Quan Medical PLLC,quan@quanmedical.com,+15168987676,https://quanmedical.com/,Hempstead,NY
Ability Rehabilitation,Administration@abilityrehabilitation.com,+14076880071,https://abilityrehabilitation.com/,South Daytona,FL
Gaon Wellness Acupuncture Physical Therapy Chiropractic k-town Manhattan New York 케이타운 맨하탄 병원,gaonwellnessnyc@gmail.com,+19177977000,https://gaonwellness.com/,New York,NY
Club Move Physical Therapy,info@clubmovept.com,+17812022065,https://clubmovept.com/,Burlington,MA
Impact Health & Wellness,info@ihwoh.com,+16149426986,https://impacthealthoh.com/,Westerville,OH
Good Life Physical Therapy,info@goodlifegr.com,+16168556588,https://goodlifegr.com/,Grand Rapids,MI
"Orthopedic & Spine Physical Therapy, PC",denise@orthopedicspinept.com,+15187936333,https://www.orthopedicspinept.com/,Queensbury,NY
"Orthopedic & Spine Physical Therapy, PC",denise.orthospine@gmail.com,+15187936333,https://www.orthopedicspinept.com/,Queensbury,NY
Red Rock Physical Therapy and Wellness McHenry,RRteam@redrocktherapy.com,+18154514502,https://www.redrocktherapy.com/,McHenry,IL
Journey to Harmony Physical Therapy,journeytoharmonypt@gmail.com,+18136413901,https://www.startyourptjourney.com/,Ruskin,FL
Kendall Performance Physical Therapy,kendalldpt@gmail.com,+17162210040,http://kendallperformancept.com/,Williamsville,NY
Lunara Pediatric Therapy,support@lunara.llc,+12677779878,http://lunara.llc/,Oreland,PA
FYZICAL Therapy & Balance Centers - Garfield Ridge,info@fyzicalchicago.com,+13129000994,https://fyzicalchicago.com/,Chicago,IL
Ability Rehabilitation,Administration@abilityrehabilitation.com,+14076880071,https://abilityrehabilitation.com/,Kissimmee,FL
Rise Above Physical Therapy,mike@riseaboveptllc.com,+19782522537,https://www.riseaboveptllc.com/,Methuen,MA
Cohen Health and Performance,info+mclean@cohenhealth.com,+12406865609,https://cohenhp.com/,Bethesda,MD
Cohen Health and Performance,info+bethesda@cohenhealth.com,+12406865609,https://cohenhp.com/,Bethesda,MD
Ability Rehabilitation,Administration@abilityrehabilitation.com,+14076880071,https://abilityrehabilitation.com/,Sanford,FL
Ability Rehabilitation,Administration@abilityrehabilitation.com,+14076880071,https://abilityrehabilitation.com/,Clermont,FL
Ability Rehabilitation,Administration@abilityrehabilitation.com,+14076880071,https://abilityrehabilitation.com/,Orlando,FL
ProRehab Physical Therapy,info@prorehabinc.net,+19784526633,https://www.prorehabinc.com/,Chelmsford,MA
Spectrum Spine & Sport Physical Therapy,info@spectrumspineandsport.com,+14805737355,https://spectrumspineandsport.com/,Gilbert,AZ
Quality Care Physical Therapy,info@qualitycarept.com,+14254866079,https://www.qualitycarept.com/,Bothell,WA
